Inhalt,Beispieldaten,Hinweise,Datenfeld in Schüler Online,Xschule / Xbildung,SVWS-Datenfeld (Schild-3.0),Schild2.0-Datei,Schild2.0-Spalte,Schild2.0-Feldname,,
6-stelliger Personenschlüssel,273808,wird von Schüler Online automatisch zugeteilt,PersonenSchluessel,"aktuell nicht verwendbar

Idee:
abgebendeSchule.SchildID (Schulnummer-SchildID)
aufnehmendeSchule.SchildID (Schulnummer-SchildID)

Schueler.NatuerlichePerson.Identifikationsnummer…",,,,,,
,,,,Schueler.NameNatuerlichePerson.titel,,,,,,
Vorname,Max,,Vorname,Schueler.NameNatuerlichePerson.vorname,schueler.Vorname,SchuelerBasisdaten.dat,2,Vorname,,
Nachname,Mustermann,,Nachname,Schueler.NameNatuerlichePerson.familienname,schueler.Name,SchuelerBasisdaten.dat,1,Nachname,,
,,,,Schueler.NameNatuerlichePerson.rufname,,,,,,
,,,,"Schueler.NameNatuerlichePerson.fruehererFamilienname
(wird vermutlich nicht benötigt)",,,,,,
Geburtsname,Meier,,Geburtsname,Schueler.NameNatuerlichePerson.geburtsname,schueler.Geburtsname,SchuelerZusatzdaten.dat,5,Geburtsname,,
Geburtsort,Berlin,,Geburtsort,Schueler.NatuerlichePerson.geburt.geburtsort,schueler.Geburtsort,SchuelerZusatzdaten.dat,6,Geburtsort,,
Geburtsdatum,18.05.1981,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.",Geburtsdatum,Schueler.NatuerlichePerson.geburt.datum,schueler.Geburtsdatum,SchuelerBasisdaten.dat,3,Geburtsdatum,,
Geschlecht,M,"Gibt Schlüssel für Geschlecht aus (M = männlich, W = weiblich, D = divers, X = ohne Angabe). Kann auch auf ""Text"" umgestellt werden. Gibt dann die Bezeichnung des Geschlechts aus.

Die Ausgabe der Werte kann über den Button ""Zuordnung spezieller Feldinhalte"" (Symbol in der Spalte ganz rechts) auf der Seite ""Datenexport"" -> ""Export Schema Anmeldungen"" individuell eingestellt werden.",Geschlecht,Schueler.NatuerlichePerson.Geschlecht.geschlecht,schueler.Geschlecht,SchuelerBasisdaten.dat,4,Geschlecht,,
Anrede,Herr,"""Herr"" oder ""Frau"" (bzw. leer bei divers und ohne Angaben)",SchuelerAnrede,Schueler.NameNatuerlichePerson.anrede,,,,,,
Anrede mit Grußformel,Sehr geehrter Herr,"""Sehr geehrter Herr"" oder ""Sehr geehrte Frau"" (bzw. ""Sehr geehrte"" bei divers und ohne Angaben)",SchuelerAnrede2,wird in Schüler Online / Schild generiert,,,,,,
volljährig?,0,"0 = nein, 1 = ja

Die Ausgabe der Werte kann über den Button ""Zuordnung spezieller Feldinhalte"" (Symbol in der Spalte ganz rechts) auf der Seite ""Datenexport"" -> ""Export Schema Anmeldungen"" individuell eingestellt werden.",volljaehrig,wird in Schüler Online / Schild generiert,schueler.Volljaehrig,,,,,
Externer Schlüssel aus dem Schulverwaltungsprogramm,ABC123,Externe ID-Nummer des Schülerdatensatzes (z.B. aus Einwohnermeldewesen oder Schulverwaltungsprogramm). Liegt in der Regel NICHT vor.,KeyExtern,siehe Personenschlüssel,schuler.ID,SchuelerZusatzdaten.dat,11,Externe ID-Nr.,,
Konfession,KR,"Gibt Schlüssel für Konfession aus. Kann bei Bedarf auch auf die Ausgabe von Text umgestellt werden.

Konfessionsschlüssel für NRW-Schüler:
ER - Evangelisch
KR - Römisch-katholisch
IR - islamisch
HR - jüdisch
OR - griechisch orthodox
XO - sonstig orthodox
AR - alevitisch
MB - mennonitische Brüdergemeinde
XR - sonstige
OH - ohne

Konfessionsschlüssel für Niedersachsen-Schüler:
0 - ohne Angaben
1 - Evangelisch
3 - katholisch
5 - alevitisch
6 - islamisch
7 - sonstige
8 - ohne",Konfession,Darf wohl nicht verarbeitet werden gemäß dem Schema … inkompatibel zu aktuellen Datenfeldschemata Schüler Online und Schild,schuler.Religion_ID→k_religion.ID→ k_religion.ExportBez,SchuelerBasisdaten.dat,12,Konfession, Statistik-Kürzel,
Jahr der 1. Einschulung,2006,,EinschulungsJahr,"Schueler.Einschulung.eintrittsdatum
Datentyp ""Date"" statt Jahreszahl",schuler.Einschulungsjahr,SchuelerBasisdaten.dat,30,Einschulungsjahr,,
,,,,Schueler.Auskunftssperre…,schueler.KeineAuskunft,,,,,
,,,,Schueler.Impfung…,schueler.MasernImpfnachweis,,,,,
,,,,Schueler.SchuelerReisender…,,,,,,
,,,,,,,,,,
Schüler*in - Kontaktdaten,,,,,,,,,,
Anschrift,Mustermann-Straße 46,,Strasse,"Schueler.MeldeAnschrift.Strasse
Schueler.Auslandsanschrift.Anschriftzone",schuler.Strassenname,SchuelerBasisdaten.dat,8,Straße,,
